Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
Northeast,Kaziranga,Urban/City,14,7,11804
Northeast,Majuli,Religious,15,9,22219
North,Jaipur,Desert,15,2,40865
North,Dalhousie,Wildlife,15,4,11173
South,Munnar,Urban/City,4,7,24723
Central,Gwalior,Adventure,6,3,55659
Northeast,Cherrapunji,Hidden Gem,7,1,49545
East,Guwahati,Hidden Gem,11,10,22782
West,Somnath,Historical,8,11,10193
East,Gangtok,Trekking,5,8,49252
West,Mount Abu,Trekking,8,4,23715
Northeast,Shillong Peak,Adventure,4,8,19326
South,Goa,Wildlife,3,9,21731
Central,Indore,Desert,5,6,11582
South,Mysore,Desert,3,7,8786
East,Guwahati,Trekking,5,2,47479
East,Bodh Gaya,Religious,7,5,30283
South,Goa,Hidden Gem,11,11,35351
Central,Pachmarhi,Wildlife,3,3,55947
Central,Bandhavgarh,Adventure,3,7,9928
North,Nainital,Adventure,4,7,56479
Central,Bandhavgarh,Trekking,13,9,27242
North,Nainital,Hidden Gem,10,3,16454
North,Nainital,Urban/City,12,9,5212
West,Rann of Kutch,Beach,9,8,45038
East,Bodh Gaya,Hidden Gem,7,3,26504
East,Shillong,Beach,7,11,35610
Central,Khajuraho,Religious,4,12,53203
North,Jaipur,Urban/City,8,2,36475
North,Manali,Adventure,7,1,16530
West,Jaisalmer,Desert,13,8,30588
North,Kullu,Historical,2,4,59932
East,Guwahati,Hidden Gem,12,7,58761
South,Goa,Beach,13,5,31242
Northeast,Ziro Valley,Urban/City,14,10,31648
Central,Pachmarhi,Historical,15,1,43819
East,Konark,Hidden Gem,4,9,46088
Central,Kanha National Park,Trekking,3,8,39674
South,Pondicherry,Desert,13,9,19991
North,Jaipur,Desert,5,4,50865
Northeast,Tawang,Urban/City,4,5,55404
West,Mount Abu,Desert,5,1,28971
South,Kochi,Desert,14,4,20207
North,Rishikesh,Hill Station,15,7,58840
South,Goa,Beach,15,9,41091
East,Gangtok,Religious,14,11,21059
South,Kochi,Historical,2,3,23656
East,Bodh Gaya,Religious,13,10,23055
North,Agra,Urban/City,11,5,29787
South,Hampi,Beach,7,6,6408
South,Mysore,Urban/City,3,8,36592
West,Rann of Kutch,Adventure,7,7,34474
West,Rann of Kutch,Adventure,7,3,17168
North,Agra,Historical,13,5,27357
Central,Indore,Urban/City,9,12,53297
East,Guwahati,Adventure,13,12,38518
South,Pondicherry,Historical,14,2,4015
South,Mysore,Wildlife,9,11,32932
North,Nainital,Adventure,2,11,51657
East,Bodh Gaya,Wildlife,8,1,10506
West,Mount Abu,Beach,5,5,27352
North,Varanasi,Wildlife,14,9,18127
West,Rann of Kutch,Hill Station,4,5,32325
Central,Pachmarhi,Beach,9,8,3704
Northeast,Kaziranga,Trekking,4,10,45272
North,Rishikesh,Urban/City,12,12,55857
East,Kolkata,Trekking,4,2,35945
Northeast,Majuli,Trekking,14,5,25812
Central,Pachmarhi,Hill Station,4,3,25512
South,Alleppey,Historical,8,1,24618
Northeast,Imphal,Hill Station,13,7,49102
South,Kodaikanal,Adventure,2,6,19801
South,Kochi,Desert,2,7,52149
East,Kolkata,Urban/City,7,4,18324
North,Rishikesh,Hill Station,8,9,43004
South,Kodaikanal,Trekking,3,10,3529
East,Kolkata,Hidden Gem,6,4,53725
North,Agra,Hidden Gem,2,4,41612
West,Gir National Park,Desert,11,2,42592
East,Bodh Gaya,Urban/City,7,9,15396
East,Gangtok,Historical,3,1,20121
Northeast,Majuli,Hidden Gem,8,3,18612
East,Bodh Gaya,Wildlife,9,10,41932
West,Jaisalmer,Trekking,13,4,24003
North,Varanasi,Trekking,6,8,7214
East,Sundarbans,Wildlife,5,2,47273
South,Mysore,Adventure,9,1,53871
Central,Gwalior,Adventure,14,2,12248
Northeast,Aizawl,Historical,8,1,9257
North,Agra,Hill Station,9,3,52284
Northeast,Tawang,Adventure,12,2,51360
Central,Sanchi,Desert,15,2,48601
Northeast,Cherrapunji,Trekking,7,5,33121
East,Guwahati,Beach,6,12,14692
Northeast,Cherrapunji,Adventure,8,6,43329
Central,Sanchi,Religious,7,4,43502
South,Kochi,Trekking,8,4,34406
South,Coorg,Historical,3,1,56073
West,Rann of Kutch,Urban/City,4,10,30070
East,Sundarbans,Desert,8,2,29252
Central,Sanchi,Urban/City,5,1,48576
West,Mumbai,Urban/City,13,3,44823
South,Alleppey,Adventure,14,5,22280
West,Mumbai,Hill Station,4,8,52868
West,Udaipur,Desert,6,7,54015
East,Bodh Gaya,Historical,10,8,8914
East,Gangtok,Wildlife,4,9,13295
West,Ahmedabad,Beach,14,11,53895
East,Bodh Gaya,Wildlife,7,11,47653
West,Ahmedabad,Hill Station,11,4,42415
Central,Indore,Wildlife,11,7,29183
South,Pondicherry,Trekking,3,6,10356
Northeast,Kaziranga,Wildlife,7,8,14754
Central,Pachmarhi,Hidden Gem,15,9,51760
Northeast,Imphal,Wildlife,7,8,31895
East,Gangtok,Beach,6,1,6484
East,Darjeeling,Hidden Gem,6,11,23602
Central,Khajuraho,Adventure,5,9,8601
South,Kodaikanal,Beach,9,4,40826
South,Pondicherry,Desert,3,6,3296
Northeast,Majuli,Hidden Gem,14,9,35243
East,Konark,Hill Station,8,11,43946
East,Bodh Gaya,Beach,4,12,3579
Central,Pachmarhi,Urban/City,13,9,9790
East,Shillong,Religious,13,9,45855
Northeast,Imphal,Wildlife,4,4,52943
West,Dwarka,Historical,14,6,35619
South,Ooty,Hill Station,11,12,11161
Central,Kanha National Park,Desert,7,3,17309
South,Goa,Wildlife,2,5,23271
North,Dalhousie,Hidden Gem,10,9,15108
West,Somnath,Adventure,3,8,53014
South,Coorg,Adventure,15,11,49296
West,Rann of Kutch,Urban/City,13,8,16801
North,Manali,Hill Station,4,5,3703
North,Jaipur,Religious,5,6,14888
South,Goa,Urban/City,5,11,27407
Northeast,Aizawl,Historical,12,12,50976
South,Kochi,Historical,12,3,56160
South,Pondicherry,Urban/City,2,11,13653
East,Bodh Gaya,Hill Station,6,11,4481
North,Manali,Beach,3,5,15305
South,Goa,Religious,15,6,20060
West,Ahmedabad,Religious,4,10,4390
South,Goa,Historical,13,4,45248
Central,Kanha National Park,Religious,14,6,7485
Central,Bandhavgarh,Desert,13,4,15736
South,Hampi,Historical,14,9,32912
West,Rann of Kutch,Hill Station,12,6,12953
South,Kodaikanal,Historical,11,1,3202
North,Manali,Desert,13,3,38018
South,Munnar,Desert,7,2,10947
Central,Kanha National Park,Wildlife,6,12,13398
North,Shimla,Religious,6,1,47112
South,Hampi,Desert,12,5,56455
West,Jaisalmer,Beach,3,1,28593
Central,Bandhavgarh,Desert,6,12,49677
Northeast,Shillong Peak,Trekking,13,4,59629
Central,Gwalior,Trekking,7,5,13845
West,Udaipur,Desert,2,10,11993
Northeast,Dzukou Valley,Adventure,14,6,29012
Central,Bandhavgarh,Urban/City,3,3,44264
South,Alleppey,Beach,3,1,57646
South,Pondicherry,Historical,13,3,54472
South,Hampi,Adventure,12,8,41575
East,Puri,Beach,5,12,11185
North,Agra,Hill Station,12,5,18062
Northeast,Kaziranga,Historical,15,11,30937
West,Ahmedabad,Desert,9,3,24607
East,Kolkata,Trekking,3,3,59070
North,Kullu,Beach,13,11,10358
Central,Gwalior,Trekking,4,9,52048
North,Dalhousie,Trekking,5,10,54791
North,Shimla,Trekking,6,7,47507
North,Manali,Trekking,4,7,39650
East,Shillong,Hill Station,3,1,13873
West,Ahmedabad,Hidden Gem,12,3,26202
East,Gangtok,Wildlife,10,3,48787
North,Kullu,Wildlife,2,5,52221
West,Jaisalmer,Hidden Gem,5,11,28630
East,Guwahati,Urban/City,13,3,38407
Central,Indore,Religious,2,1,10757
South,Kodaikanal,Urban/City,5,7,31721
South,Coorg,Hill Station,8,12,58035
East,Puri,Trekking,7,9,29083
South,Mysore,Hill Station,6,2,5757
Northeast,Cherrapunji,Religious,5,9,38575
South,Kodaikanal,Religious,9,9,55618
West,Jaisalmer,Beach,5,5,49504
Central,Indore,Adventure,5,2,42174
Northeast,Aizawl,Desert,14,11,22678
North,Manali,Beach,14,6,51114
South,Coorg,Religious,4,1,3145
East,Puri,Hidden Gem,15,2,49214
East,Shillong,Urban/City,11,8,46288
East,Sundarbans,Religious,3,11,53083
West,Mumbai,Historical,10,12,36380
Central,Bandhavgarh,Hidden Gem,12,8,19205
Central,Sanchi,Adventure,6,3,21241
North,Kullu,Beach,15,12,46722
Northeast,Shillong Peak,Hidden Gem,5,4,13603
West,Ahmedabad,Hidden Gem,11,12,48518
West,Rann of Kutch,Wildlife,5,9,17733
South,Hampi,Urban/City,15,9,15213
Northeast,Ziro Valley,Religious,8,7,47862
North,Kullu,Desert,5,9,30813
Central,Gwalior,Desert,2,9,16990
South,Kodaikanal,Hidden Gem,11,6,49904
South,Kodaikanal,Hidden Gem,2,2,49114
North,Dalhousie,Desert,9,5,16355
West,Udaipur,Beach,13,9,23800
Central,Kanha National Park,Trekking,8,3,7465
East,Shillong,Desert,13,4,21791
East,Darjeeling,Religious,6,10,39365
South,Ooty,Beach,10,8,34022
North,Manali,Beach,2,6,21508
Central,Bhopal,Trekking,15,12,34916
South,Pondicherry,Trekking,8,10,35028
West,Rann of Kutch,Wildlife,10,3,15195
South,Munnar,Urban/City,10,10,3165
North,Dalhousie,Wildlife,3,8,15349
Central,Indore,Wildlife,5,11,36920
Northeast,Shillong Peak,Beach,12,2,25324
Central,Pachmarhi,Adventure,12,11,39360
East,Gangtok,Hidden Gem,10,8,55451
Northeast,Kaziranga,Trekking,14,1,25474
Northeast,Dzukou Valley,Beach,3,8,15457
East,Konark,Beach,3,10,53553
West,Ahmedabad,Urban/City,10,7,13871
South,Goa,Desert,10,6,23767
West,Rann of Kutch,Historical,9,8,49358
Central,Pachmarhi,Hill Station,9,5,16739
North,Varanasi,Religious,2,4,41916
West,Udaipur,Desert,15,7,14510
Northeast,Ziro Valley,Historical,10,7,20509
West,Somnath,Trekking,9,3,47272
North,Nainital,Historical,12,5,31365
North,Varanasi,Urban/City,3,1,42048
North,Rishikesh,Trekking,3,1,44342
Northeast,Ziro Valley,Wildlife,11,10,38016
North,Shimla,Adventure,3,9,57817
Central,Sanchi,Historical,8,10,59722
East,Kolkata,Trekking,2,1,38596
Northeast,Kaziranga,Hill Station,13,8,18064
South,Ooty,Adventure,7,8,51850
Central,Khajuraho,Historical,3,10,45563
East,Kolkata,Desert,9,3,51021
West,Udaipur,Desert,5,5,33651
Northeast,Majuli,Wildlife,7,3,18503
North,Rishikesh,Hidden Gem,11,3,53145
Central,Kanha National Park,Adventure,12,5,14717
Central,Indore,Hill Station,7,1,17028
West,Somnath,Hill Station,12,3,31839
North,Leh,Hidden Gem,12,5,28314
East,Bodh Gaya,Trekking,12,9,25392
South,Pondicherry,Hill Station,9,1,15497
South,Coorg,Wildlife,8,12,5894
Central,Bhopal,Hill Station,4,1,5896
North,Rishikesh,Hidden Gem,14,9,33516
North,Nainital,Hidden Gem,7,8,16476
North,Dalhousie,Hidden Gem,7,4,44724
North,Leh,Trekking,12,5,49282
North,Rishikesh,Beach,13,10,21886
North,Jaipur,Wildlife,5,7,42400
East,Kolkata,Wildlife,2,6,37920
South,Goa,Trekking,15,9,35015
Central,Pachmarhi,Desert,4,11,19148
North,Kullu,Religious,10,4,39923
Northeast,Cherrapunji,Trekking,9,5,40542
East,Puri,Urban/City,3,4,59693
Northeast,Aizawl,Hill Station,8,3,4819
Central,Khajuraho,Desert,7,3,22843
South,Pondicherry,Adventure,6,2,43143
Central,Bandhavgarh,Wildlife,15,5,56055
East,Darjeeling,Religious,9,5,9618
North,Dalhousie,Historical,6,7,38648
North,Leh,Historical,8,11,48751
East,Guwahati,Beach,12,3,54296
North,Agra,Wildlife,10,2,19766
West,Gir National Park,Adventure,9,10,52827
North,Dalhousie,Historical,6,6,13587
North,Rishikesh,Wildlife,10,12,14015
Central,Sanchi,Trekking,9,1,38952
West,Mount Abu,Desert,13,11,9234
South,Ooty,Hidden Gem,15,8,44792
South,Munnar,Urban/City,12,5,39698
Northeast,Dzukou Valley,Trekking,10,6,45946
North,Manali,Historical,10,3,21461
West,Ahmedabad,Religious,2,5,35425
West,Jaisalmer,Religious,2,10,20903
Central,Khajuraho,Historical,15,5,50105
South,Goa,Historical,12,11,34667
West,Somnath,Hill Station,11,10,15394
South,Hampi,Hill Station,3,12,13190
Central,Bhopal,Urban/City,13,6,30048
East,Sundarbans,Urban/City,11,8,43721
Central,Bhopal,Adventure,13,1,7308
North,Manali,Hidden Gem,10,9,3310
North,Varanasi,Trekking,12,6,3410
Northeast,Tawang,Trekking,14,9,9559
North,Leh,Desert,3,3,4645
West,Somnath,Desert,11,1,26463
West,Somnath,Urban/City,3,4,13004
South,Kochi,Historical,4,2,49371
West,Mumbai,Trekking,14,3,7046
Central,Pachmarhi,Desert,2,5,54423
South,Ooty,Adventure,3,1,6231
East,Konark,Urban/City,6,6,41938
West,Udaipur,Historical,5,10,27307
Central,Indore,Trekking,10,1,41516
West,Ahmedabad,Religious,11,5,55838
South,Kochi,Wildlife,8,11,38081
Northeast,Kaziranga,Historical,8,3,49368
Northeast,Tawang,Religious,2,5,49774
North,Agra,Adventure,9,7,33786
Northeast,Dzukou Valley,Religious,5,2,49736
South,Munnar,Hill Station,6,12,36402
North,Varanasi,Hill Station,8,2,7770
West,Somnath,Trekking,10,6,37126
South,Goa,Urban/City,10,12,59680
East,Bodh Gaya,Hidden Gem,11,11,19509
Central,Bandhavgarh,Adventure,5,5,4530
Northeast,Imphal,Trekking,11,1,17864
West,Udaipur,Religious,15,2,31308
Central,Gwalior,Religious,9,8,5446
North,Dalhousie,Trekking,5,4,27083
North,Kullu,Adventure,9,9,9766
South,Munnar,Trekking,14,1,28250
Northeast,Shillong Peak,Hill Station,10,11,48018
West,Mount Abu,Trekking,3,6,28364
North,Shimla,Desert,12,5,17085
Central,Bhopal,Historical,6,6,41729
North,Agra,Historical,12,5,14388
North,Rishikesh,Beach,15,2,9366
North,Varanasi,Trekking,15,7,8862
Northeast,Majuli,Adventure,12,2,47499
Northeast,Ziro Valley,Wildlife,3,4,11226
Central,Pachmarhi,Desert,5,10,27561
East,Darjeeling,Hidden Gem,15,1,35699
North,Varanasi,Hill Station,13,12,38586
North,Nainital,Religious,3,12,4374
South,Mysore,Beach,3,3,32964
Central,Gwalior,Adventure,4,1,4885
West,Rann of Kutch,Historical,10,7,35959
North,Manali,Trekking,14,9,20042
South,Kodaikanal,Urban/City,7,9,32008
Northeast,Shillong Peak,Beach,9,7,47387
Central,Indore,Wildlife,14,8,28565
Northeast,Ziro Valley,Hill Station,4,10,48843
South,Ooty,Urban/City,14,9,14831
East,Guwahati,Trekking,4,7,37248
Central,Indore,Urban/City,13,5,39610
South,Kochi,Hill Station,14,6,37420
Central,Bandhavgarh,Desert,13,8,11927
West,Somnath,Hidden Gem,4,6,50715
East,Bodh Gaya,Historical,13,10,16713
South,Munnar,Hill Station,15,3,22804
South,Coorg,Wildlife,13,2,54898
Northeast,Ziro Valley,Hidden Gem,7,12,56302
Northeast,Majuli,Historical,5,2,54312
South,Coorg,Adventure,11,12,3416
North,Rishikesh,Adventure,5,8,16225
North,Leh,Adventure,12,7,16176
Central,Indore,Wildlife,13,9,3069
South,Pondicherry,Adventure,3,1,57200
North,Manali,Adventure,13,11,8615
South,Munnar,Trekking,4,1,44117
Central,Indore,Historical,4,5,49815
Central,Gwalior,Wildlife,8,6,33123
Central,Gwalior,Desert,14,9,21404
West,Somnath,Desert,6,7,52983
West,Mumbai,Hill Station,8,2,12331
West,Dwarka,Beach,4,6,40051
Central,Bandhavgarh,Hill Station,8,8,47521
East,Shillong,Hidden Gem,13,7,52562
East,Sundarbans,Trekking,9,6,21780
West,Mount Abu,Hill Station,2,1,38231
North,Shimla,Desert,12,6,12616
Central,Bhopal,Wildlife,14,11,48609
South,Munnar,Desert,12,2,32540
North,Shimla,Beach,3,7,35594
North,Shimla,Desert,4,6,45422
Northeast,Tawang,Wildlife,6,2,45096
Central,Bhopal,Wildlife,15,5,9845
Northeast,Dzukou Valley,Religious,3,6,52673
Northeast,Tawang,Trekking,14,2,16265
Northeast,Cherrapunji,Wildlife,2,2,7389
Central,Kanha National Park,Hidden Gem,7,6,46389
Central,Sanchi,Hidden Gem,4,6,26110
Northeast,Tawang,Hidden Gem,6,9,49945
North,Manali,Historical,15,7,20752
South,Kochi,Religious,13,3,9843
Northeast,Cherrapunji,Historical,15,9,28853
South,Mysore,Desert,9,12,47591
Northeast,Kaziranga,Desert,5,5,47692
West,Jaisalmer,Desert,14,8,26186
East,Gangtok,Urban/City,13,6,20166
South,Munnar,Urban/City,7,1,56259
Central,Bhopal,Urban/City,11,6,7612
North,Shimla,Historical,5,9,42782
East,Konark,Urban/City,7,4,46265
North,Jaipur,Adventure,15,8,26135
Northeast,Kaziranga,Beach,8,2,28158
Northeast,Tawang,Hill Station,7,2,3476
Central,Bhopal,Historical,5,1,14350
Central,Sanchi,Hidden Gem,2,12,11717
Central,Bhopal,Beach,7,1,56809
West,Gir National Park,Hill Station,9,4,12224
South,Coorg,Desert,5,4,38046
Central,Bhopal,Trekking,3,6,13298
Northeast,Shillong Peak,Hidden Gem,9,9,10399
North,Dalhousie,Hidden Gem,14,11,49581
Central,Indore,Religious,7,12,19495
South,Coorg,Beach,15,10,54016
Northeast,Kaziranga,Religious,5,3,51588
West,Rann of Kutch,Wildlife,6,1,19456
Central,Sanchi,Religious,13,3,32847
North,Varanasi,Trekking,9,2,26203
North,Dalhousie,Beach,15,3,15619
West,Jaisalmer,Adventure,11,12,48489
West,Udaipur,Wildlife,13,1,14952
Central,Gwalior,Hidden Gem,11,10,37169
North,Shimla,Urban/City,15,2,34079
South,Pondicherry,Adventure,2,12,30410
Northeast,Majuli,Hidden Gem,8,2,28725
West,Mumbai,Trekking,3,8,35988
West,Mumbai,Hidden Gem,6,8,52270
North,Leh,Religious,3,8,17199
Central,Gwalior,Hidden Gem,15,10,22457
West,Jaisalmer,Hidden Gem,12,4,44128
Central,Bhopal,Beach,8,9,30907
East,Kolkata,Wildlife,8,3,23599
South,Pondicherry,Religious,6,1,16331
North,Shimla,Urban/City,3,10,25208
North,Manali,Wildlife,7,3,47491
Central,Sanchi,Trekking,11,6,3697
Central,Gwalior,Historical,2,11,53653
West,Rann of Kutch,Desert,14,8,40549
North,Nainital,Adventure,6,10,31422
West,Mumbai,Hill Station,14,5,23341
South,Hampi,Adventure,12,10,24198
East,Darjeeling,Religious,5,7,46914
Northeast,Shillong Peak,Hill Station,12,2,58408
North,Shimla,Beach,3,1,44248
South,Kodaikanal,Urban/City,3,8,23332
Central,Indore,Historical,12,6,59139
Northeast,Imphal,Trekking,5,5,56258
North,Nainital,Adventure,4,11,47286
Central,Gwalior,Adventure,14,11,41142
West,Somnath,Adventure,12,3,28283
West,Mount Abu,Beach,12,12,21460
Northeast,Tawang,Trekking,14,10,38144
South,Alleppey,Hidden Gem,14,8,9914
West,Mount Abu,Beach,9,4,26087
North,Jaipur,Desert,12,1,33802
West,Mumbai,Wildlife,14,7,20613
East,Kolkata,Trekking,2,12,32350
South,Coorg,Trekking,7,7,5258
East,Shillong,Adventure,9,7,7313
North,Agra,Adventure,5,4,29069
North,Shimla,Historical,10,1,46545
North,Dalhousie,Historical,10,11,57794
Northeast,Kaziranga,Historical,14,5,43396
West,Rann of Kutch,Beach,15,7,25570
East,Gangtok,Historical,8,5,41582
Central,Bandhavgarh,Religious,12,2,9557
Central,Pachmarhi,Trekking,13,7,14833
South,Alleppey,Hidden Gem,9,1,15229
North,Agra,Hill Station,9,2,36308
South,Hampi,Hill Station,15,1,14599
West,Somnath,Trekking,15,11,56262
West,Ahmedabad,Historical,14,4,53398
South,Alleppey,Hill Station,6,6,30845
West,Dwarka,Hidden Gem,3,2,57882
Northeast,Majuli,Desert,10,12,55875
West,Somnath,Hidden Gem,7,6,20201
North,Manali,Desert,4,2,3789
South,Hampi,Urban/City,5,4,31298
East,Gangtok,Religious,7,6,3216
East,Konark,Trekking,13,10,11816
West,Ahmedabad,Religious,5,8,6673
West,Mount Abu,Adventure,11,7,11604
North,Manali,Hidden Gem,9,4,23775
Northeast,Cherrapunji,Historical,6,4,24436
Central,Kanha National Park,Adventure,14,4,17888
West,Udaipur,Hidden Gem,2,2,38898
West,Ahmedabad,Urban/City,7,8,20932
East,Gangtok,Desert,6,11,27700
North,Varanasi,Wildlife,12,4,5804
Central,Bandhavgarh,Beach,5,4,15344
East,Kolkata,Beach,10,9,57553
East,Sundarbans,Adventure,4,9,18066
West,Gir National Park,Beach,12,1,26440
South,Pondicherry,Trekking,14,5,28985
South,Coorg,Urban/City,4,12,22286
Northeast,Shillong Peak,Hill Station,11,10,33103
Central,Khajuraho,Urban/City,4,10,14909
South,Pondicherry,Hill Station,2,3,55894
North,Leh,Hill Station,10,6,15234
East,Sundarbans,Historical,11,9,21736
North,Jaipur,Beach,14,6,49443
East,Sundarbans,Religious,9,10,24569
West,Gir National Park,Religious,2,5,4080
West,Ahmedabad,Religious,3,12,47907
West,Jaisalmer,Adventure,13,3,21561
North,Dalhousie,Hidden Gem,11,3,38578
Northeast,Cherrapunji,Desert,4,5,14292
Northeast,Dzukou Valley,Beach,7,3,31732
East,Gangtok,Wildlife,3,10,12169
West,Udaipur,Urban/City,3,6,19245
West,Ahmedabad,Hidden Gem,15,11,4853
West,Jaisalmer,Urban/City,8,11,50535
North,Agra,Hill Station,6,2,32537
South,Pondicherry,Religious,15,9,16916
South,Hampi,Hill Station,8,7,20353
Northeast,Cherrapunji,Historical,10,5,22043
Northeast,Imphal,Historical,5,7,51465
Central,Gwalior,Beach,8,6,53626
East,Puri,Urban/City,10,7,58426
West,Somnath,Religious,5,12,38251
Northeast,Dzukou Valley,Religious,11,12,24349
West,Gir National Park,Religious,3,4,47647
South,Goa,Hidden Gem,8,9,55216
Northeast,Aizawl,Historical,9,12,11506
South,Pondicherry,Religious,6,4,9683
South,Goa,Historical,3,2,59790
Northeast,Ziro Valley,Trekking,9,11,53012
East,Shillong,Beach,12,7,42911
South,Kodaikanal,Desert,13,11,48461
Northeast,Imphal,Urban/City,9,5,28035
West,Ahmedabad,Religious,10,3,6678
Northeast,Majuli,Religious,5,3,47016
North,Nainital,Trekking,2,1,56592
Northeast,Cherrapunji,Beach,14,12,50406
West,Dwarka,Urban/City,14,10,13332
North,Dalhousie,Desert,10,11,26084
Central,Bhopal,Trekking,13,12,8932
East,Puri,Hidden Gem,2,9,52020
Northeast,Majuli,Urban/City,15,7,22468
West,Mumbai,Religious,3,8,28429
Central,Gwalior,Beach,8,3,30431
North,Jaipur,Adventure,11,8,18240
North,Manali,Desert,2,8,52767
Northeast,Dzukou Valley,Hill Station,4,3,50731
South,Pondicherry,Wildlife,12,4,41985
Northeast,Aizawl,Urban/City,11,1,38724
South,Goa,Beach,4,6,59545
Central,Khajuraho,Wildlife,5,4,38235
Central,Pachmarhi,Trekking,10,6,30100
Northeast,Shillong Peak,Trekking,6,10,19289
West,Ahmedabad,Hidden Gem,6,8,19404
East,Konark,Trekking,5,12,29690
Northeast,Kaziranga,Historical,13,2,11120
North,Dalhousie,Desert,13,11,51708
North,Rishikesh,Hidden Gem,11,9,25482
East,Kolkata,Urban/City,4,3,42767
East,Kolkata,Urban/City,3,1,50248
South,Goa,Urban/City,8,6,5979
North,Kullu,Adventure,15,11,38298
Northeast,Imphal,Urban/City,7,8,16553
South,Goa,Religious,5,9,41945
East,Guwahati,Urban/City,6,7,59213
North,Leh,Beach,7,5,15899
North,Shimla,Hill Station,7,7,46519
South,Munnar,Hill Station,3,9,19103
North,Jaipur,Religious,14,7,49166
East,Sundarbans,Hidden Gem,13,10,42196
Central,Bandhavgarh,Urban/City,11,10,29304
Northeast,Shillong Peak,Hidden Gem,4,3,15029
South,Pondicherry,Hill Station,11,8,25492
West,Dwarka,Urban/City,13,9,28042
South,Ooty,Hidden Gem,4,7,30748
Northeast,Aizawl,Wildlife,5,5,12513
Central,Bandhavgarh,Trekking,12,9,12271
Central,Khajuraho,Religious,10,1,4101
South,Pondicherry,Urban/City,10,8,32593
Central,Sanchi,Religious,4,7,40670
Northeast,Cherrapunji,Religious,13,9,26383
Central,Indore,Adventure,4,12,17342
Northeast,Tawang,Trekking,6,2,52524
Central,Sanchi,Religious,6,3,39027
West,Gir National Park,Hidden Gem,12,6,25789
West,Gir National Park,Hill Station,5,5,49059
Northeast,Aizawl,Adventure,7,8,21170
West,Dwarka,Adventure,12,6,38407
North,Rishikesh,Hill Station,7,12,3529
South,Coorg,Beach,7,11,46936
East,Guwahati,Historical,12,5,30329
East,Kolkata,Adventure,7,5,16932
East,Kolkata,Urban/City,7,10,41769
East,Darjeeling,Hill Station,2,3,40430
Northeast,Cherrapunji,Hill Station,15,12,27329
North,Rishikesh,Adventure,9,11,34089
North,Kullu,Historical,6,1,57480
West,Dwarka,Wildlife,13,1,18396
Northeast,Cherrapunji,Urban/City,8,2,6579
Central,Khajuraho,Hill Station,6,2,43455
South,Kochi,Beach,12,5,37369
Northeast,Majuli,Religious,4,6,5311
Central,Bhopal,Desert,4,2,48388
Central,Gwalior,Religious,13,8,10339
East,Gangtok,Trekking,11,3,4559
Central,Khajuraho,Beach,10,12,21386
East,Konark,Adventure,2,12,30781
East,Puri,Beach,15,1,5035
South,Munnar,Adventure,2,5,26723
North,Dalhousie,Religious,11,5,12369
North,Dalhousie,Hidden Gem,14,11,29039
Central,Pachmarhi,Beach,10,3,59454
North,Manali,Adventure,12,11,56761
West,Somnath,Historical,3,10,40848
West,Rann of Kutch,Hidden Gem,8,12,50673
East,Puri,Hidden Gem,12,11,54800
Central,Pachmarhi,Hill Station,11,11,12500
Northeast,Cherrapunji,Hill Station,6,9,43392
South,Goa,Desert,12,5,29320
South,Alleppey,Religious,11,6,36191
West,Gir National Park,Urban/City,5,1,50409
East,Konark,Historical,4,9,32381
South,Ooty,Desert,6,5,30273
South,Goa,Hidden Gem,12,1,28863
East,Sundarbans,Trekking,14,5,58989
North,Leh,Desert,4,4,21772
West,Somnath,Adventure,10,4,26379
West,Gir National Park,Hidden Gem,8,10,15406
South,Hampi,Hidden Gem,9,12,43228
West,Udaipur,Historical,9,6,5354
North,Dalhousie,Hill Station,2,5,46130
Northeast,Cherrapunji,Adventure,14,1,14942
West,Dwarka,Wildlife,2,4,24065
Central,Khajuraho,Beach,12,12,9834
West,Ahmedabad,Hidden Gem,11,7,3874
North,Rishikesh,Beach,15,11,15160
Northeast,Dzukou Valley,Adventure,6,9,59610
North,Varanasi,Historical,14,7,6254
Northeast,Majuli,Religious,9,1,18473
East,Shillong,Religious,3,1,13914
West,Jaisalmer,Urban/City,2,12,8164
East,Gangtok,Desert,9,12,42697
West,Rann of Kutch,Wildlife,12,3,5393
North,Dalhousie,Religious,2,2,35898
South,Goa,Religious,12,4,31331
Northeast,Majuli,Historical,5,8,46804
Northeast,Majuli,Hill Station,9,9,42627
East,Shillong,Hill Station,14,8,26589
South,Goa,Adventure,14,7,8352
West,Ahmedabad,Beach,9,6,32513
South,Coorg,Adventure,13,7,21692
Central,Sanchi,Historical,15,7,14530
North,Rishikesh,Hill Station,14,3,52014
East,Sundarbans,Urban/City,4,2,46581
South,Hampi,Hidden Gem,2,6,42862
South,Coorg,Trekking,14,5,18650
South,Ooty,Adventure,9,9,45293
East,Sundarbans,Religious,9,9,10988
North,Rishikesh,Wildlife,12,2,9563
Central,Pachmarhi,Trekking,11,7,7933
North,Shimla,Historical,6,5,31371
North,Nainital,Beach,6,9,46054
Central,Khajuraho,Hill Station,2,6,58084
South,Ooty,Adventure,6,2,59844
North,Kullu,Adventure,14,4,17659
South,Goa,Trekking,13,9,28198
Northeast,Shillong Peak,Desert,9,9,21130
